id,name,res_id,lang,type,src,value,module,state,comments,lp_key,lp_isusedbyexternalapps
2235920,other,,en_US,,Physical-SIM,Physical-SIM,,translated,,en_US_physical_sim_prepaid_label,t
2235921,other,,en_US,,E-SIM,E-SIM,,translated,,en_US_e_sim_prepaid_label,t
2235922,other,,en_US,,Predefined plan,Predefined plan,,translated,,en_US_predefined_plan_label,t
2235923,other,,en_US,,Edit,Edit,,translated,,en_US_edit_label,t
2235924,other,,en_US,,Selected add-ons,Selected add-ons,,translated,,en_US_selected_add_ons_label,t
2235925,other,,en_US,,Voice add-ons,Voice add-ons,,translated,,en_US_voice_add_ons_label,t
2235926,other,,en_US,,E Top-up,E Top-up,,translated,,en_US_e_top_up_title_label,t
2235927,other,,en_US,,Enter amount,Enter amount,,translated,,en_US_enter_amount_text_field,t
2235928,other,,en_US,,Select product,Select product,,translated,,en_US_select_product_text_field,t
2235929,other,,en_US,,Mobile number,Mobile number,,translated,,en_US_mobile_number_e_reload_label,t
2235930,other,,en_US,,Your transaction was done successfully,Your transaction was done successfully,,translated,,en_US_transaction_was_done_successfully_label,t
2235931,other,,en_US,,Select Operator,Select Operator,,translated,,en_US_select_operator_label,t
2235932,other,,en_US,,Enter number of voucher,Enter number of voucher,,translated,,en_US_enter_number_of_voucher_label,t
2235933,other,,en_US,,Ooredoo Salespoint,Ooredoo Salespoint,,translated,,en_US_ooredoo_salespoint_title,t
2235934,other,,en_US,,E-Topup,E-Topup,,translated,,en_US_e_topup_export_pdf_title_label,t
2235935,other,,en_US,,Transaction details,Transaction details,,translated,,en_US_transaction_details_title_label,t
2235936,other,,en_US,,E-wallet balance,E-wallet balance,,translated,,en_US_e_wallet_balance_customer_recharge_label,t
2235937,other,,en_US,,Transaction Success!,Transaction Success!,,translated,,en_US_transaction_success_label,t
2235938,other,,en_US,,Dealer username,Dealer username,,translated,,en_US_dealer_username_text_field,t
2235939,other,,en_US,,Stock return,Stock return,,translated,,en_US_stock_return_activity_label,t
2235940,other,,en_US,,Purchase order,Purchase order,,translated,,en_US_purchase_order_activity_label,t
2235941,other,,en_US,,SIM replacement,SIM replacement,,translated,,en_US_sim_replacement_activity_label,t
2235942,other,,en_US,, Fulfilment, Fulfilment,,translated,,en_US_fulfilment_activity_label,t
2235943,other,,en_US,,Port IN,Port IN,,translated,,en_US_port_in_activity_label,t
2235944,other,,en_US,,Dealer report,Dealer report,,translated,,en_US_commission_report_activity_label,t
2235945,other,,en_US,,language,language,,translated,,en_US_language_settings_text_field,t
2235946,other,,en_US,,version,version,,translated,,en_US_version_settings_label,t
2235947,other,,en_US,,Stock Management,Stock Management,,translated,,en_US_stock_management_services_label,t
2235948,other,,en_US,,Log out,Log out,,translated,,en_US_log_out_label,t
2235949,other,,en_US,,Notification,Notification,,translated,,en_US_notification_title_label,t
2235950,other,,en_US,,Personal information,Personal information,,translated,,en_US_personal_information_label,t
2235951,other,,en_US,,ID number,ID number,,translated,,en_US_id_number_text_field,t
2235952,other,,en_US,,Title,Title,,translated,,en_US_title_text_field,t
2235953,other,,en_US,,First name,First name,,translated,,en_US_first_name_text_filed,t
2235954,other,,en_US,,Third name,Third name,,translated,,en_US_third_name_text_field,t
2235955,other,,en_US,,Last name,Last name,,translated,,en_US_last_name_text_field,t
2235956,other,,en_US,,Gender,Gender,,translated,,en_US_gender_text_field,t
2235957,other,,en_US,,Nationality,Nationality,,translated,,en_US_nationality_text_field,t
2235958,other,,en_US,,Date of birth,Date of birth,,translated,,en_US_date_of_birth_text_field,t
2235959,other,,en_US,,Electricity account number,Electricity account number,,translated,,en_US_electricity_account_number_text_field,t
2235960,other,,en_US,,Email Address,Email Address,,translated,,en_US_email_address_text_field,t
2235961,other,,en_US,,ID type,ID type,,translated,,en_US_id_type_text_field,t
2235962,other,,en_US,,Try again,Try again,,translated,,en_US_try_again_label,t
2236122,other,,en_US,,Performance at glance,Performance at glance,,translated,,en_US_performance_glance_title,t
2236123,other,,en_US,,Import document,Import document,,translated,,en_US_import_documents_label,t
2236124,other,,en_US,,Please choose a smaller file,Please choose a smaller file,,translated,,en_US_size_limit_warning_label,t
2236125,other,,en_US,,File size exceeds the limit. Please choose a smaller file.,File size exceeds the limit. Please choose a smaller file.,,translated,,en_US_file_size_exceeds_limit_label,t
2236126,other,,en_US,,Sent,Sent,,translated,,en_US_sent_label,t
2236127,other,,en_US,,Message content,Message content,,translated,,en_US_message_content_label,t
2236128,other,,en_US,,Voice note,Voice note,,translated,,en_US_voice_note_label,t
2236129,other,,en_US,,Recipient,Recipient,,translated,,en_US_recipient_label,t
2236130,other,,en_US,,Select All,Select All,,translated,,en_US_select_all_label,t
2236131,other,,en_US,,View survey,View survey,,translated,,en_US_view_survey_label,t
2236132,other,,en_US,,Send Broadcast,Send Broadcast,,translated,,en_US_send_broadcast_label,t
2236133,other,,en_US,,Please add At least one result for each channel member,Please add At least one result for each channel member,,translated,,en_US_please_add_at_least_one_result_for_each_member_label,t
2236134,other,,en_US,,Result title,Result title,,translated,,en_US_result_title_label,t
2236135,other,,en_US,,Your broadcast has been sent successfully,Your broadcast has been sent successfully,,translated,,en_US_broadcast_success_message_label,t
2236136,other,,en_US,,Please select at least one channel member,Please select at least one channel member,,translated,,en_US_select_channel_member_warning,t
2236137,other,,en_US,,Please type a message to send,Please type a message to send,,translated,,en_US_add_broadcast_message_warning,t
2236138,other,,en_US,,No Location,No Location,,translated,,en_US_no_location_label,t
2236139,other,,en_US,,Enter your message here,Enter your message here,,translated,,en_US_enter_your_message_label,t
2236140,other,,en_US,,Write a message,Write a message,,translated,,en_US_write_a_message_label,t
2236141,other,,en_US,,Attach file,Attach file,,translated,,en_US_attach_file_label,t
2236142,other,,en_US,,Upload file,Upload file,,translated,,en_US_upload_file_label,t
2236143,other,,en_US,,press to start recording,press to start recording,,translated,,en_US_press_to_start_recording_label,t
2235196,other,,en_US,,Reset Password,Reset Password,,translated,,en_US_create_new_password_reset_password_button,t
2235197,other,,en_US,,Your Password Has Been Reset Successfully,Your Password Has Been Reset Successfully,,translated,,en_US_create_new_password_reset_successfully,t
2235198,other,,en_US,,Ordering,Ordering,,translated,,en_US_home_ordering_label,t
2235199,other,,en_US,,Bill Payment,Bill Payment,,translated,,en_US_home_bill_payment_label,t
2235200,other,,en_US,,Commission Reports,Commission Reports,,translated,,en_US_home_commission_report_label,t
2235201,other,,en_US,,Manage Subscription,Manage Subscription,,translated,,en_US_home_manage_subscription_label,t
2235202,other,,en_US,,Achievement To Next Badge,Achievement To Next Badge,,translated,,en_US_home_achievement_to_next_badge_label,t
2235203,other,,en_US,,Achieved Orders,Achieved Orders,,translated,,en_US_home_achieved_orders_label,t
2235204,other,,en_US,,Achieved Commission,Achieved Commission,,translated,,en_US_home_achieved_commission_label,t
2235205,other,,en_US,,Submit,Submit,,translated,,en_US_registration_submit_button,t
2235206,other,,en_US,,"Your password has been reset
 successfully","Your password has been reset
 successfully",,translated,,en_US_alert_reset_successfully_title_label,t
2235207,other,,en_US,,Addons Added,Addons Added,,translated,,en_US_alert_addons_added_title_label,t
2235208,other,,en_US,,Addons Added Successfully,Addons Added Successfully,,translated,,en_US_alert_addons_added_successfully_title_label,t
2235209,other,,en_US,,Done,Done,,translated,,en_US_alert_done_button,t
2235210,other,,en_US,,Are You Sure ِAdd Addons,Are You Sure ِAdd Addons,,translated,,en_US_alert_are_you_sure_body_label,t
2235211,other,,en_US,,Yes,Yes,,translated,,en_US_alert_yes_button,t
2235212,other,,en_US,,Thank You,Thank You,,translated,,en_US_alert_thank_you_title_label,t
2235213,other,,en_US,,"You Have Successfully Complete
 Your Payment","You Have Successfully Complete
 Your Payment",,translated,,en_US_alert_successfully_payment_body_label,t
2235214,other,,en_US,,Try Again,Try Again,,translated,,en_US_signature_try_again_button,t
2235215,other,,en_US,,Signature,Signature,,translated,,en_US_signature_ signature_title_label,t
2235216,other,,en_US,,Take A Photo,Take A Photo,,translated,,en_US_aert_take_a_photo_button,t
2235217,other,,en_US,,Choose From Library,Choose From Library,,translated,,en_US_alert_choose_from_library_button,t
2235218,other,,en_US,,Cancel,Cancel,,translated,,en_US_alert_cancel_button,t
2235219,other,,en_US,,Will Receive A Confirmation Email,Will Receive A Confirmation Email,,translated,,en_US_alert_will_receive_a_confirmation_email_body_label,t
